pdf;amostra;site;latitude;longitude;data;especies;sepal_length_cm;sepal_width_cm;petal_length_cm;petal_width_cm
A8;A39;site1;48.935.966;-64.840.984;1929-12-01;Iris_setosa;4.4;3;1.3;0.2
A32;A39;site2;48.540.502;-64.766.512;1930-02-13;Iris_setosa;5.4;3.7;1.5;0.2
A36;A25;site3;48.329.837;-65.512.333;1929-12-01;Iris_setosa;4.8;3.4;1.9;0.2
A39;A34;site3;48.329.837;-65.512.333;1929-12-01;Iris_setosa;5.5;4.2;1.4;0.2
A44;A49;site3;48.329.837;-65.512.333;1929-12-01;Iris_setosa;5.3;3.7;1.5;0.2
A46;A4;site3;48.329.837;-65.512.333;1929-12-01;Iris_setosa;4.6;3.1;1.5;0.2
A53;A57;site1;48.935.966;-64.840.984;1929-12-01;Iris_versicolor;6.3;3.3;4.7;1.6
A56;A66;site1;48.935.966;-64.840.984;1929-12-01;Iris_versicolor;6.7;3.1;4.4;1.4
A74;A71;site2;48.540.502;-64.766.512;1930-02-13;Iris_versicolor;5.9;3.2;4.8;1.8
A104;A111;site1;48.935.966;-64.840.984;1929-12-01;Iris_virginica;6.5;3.2;5.1;2
A113;A138;site1;48.935.966;-64.840.984;1929-12-01;Iris_virginica;6.4;3.1;5.5;1.8
A119;A104;site2;48.540.502;-64.766.512;1930-02-13;Iris_virginica;6.3;2.9;5.6;1.8
A127;A128;site2;48.540.502;-64.766.512;1930-02-13;Iris_virginica;6.1;3;4.9;1.8
A132;A143;site2;48.540.502;-64.766.512;1930-02-13;Iris_virginica;5.8;2.7;5.1;1.9
A150;A148;site3;48.329.837;-65.512.333;1929-12-01;Iris_virginica;6.5;3;5.2;2
